ID Unique,CountryCode,SeriesCode,DESCRIPTION
417,PER,SP.POP.GROW,Data sources: United Nations World Population Prospects
418,PER,SP.POP.TOTL,Data sources : United Nations World Population Prospects
419,PHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
420,PHL,SP.POP.GROW,Data sources: United Nations World Population Prospects
421,PLW,SP.POP.GROW,Data sources: United Nations World Population Prospects
422,PLW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
423,PNG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
424,PNG,SP.POP.GROW,Data sources: United Nations World Population Prospects
425,POL,SP.POP.GROW,Data sources : Eurostat
426,POL,SP.POP.TOTL,Data sources : Eurostat
427,PRI,SP.POP.TOTL,"Data sources : U.S. Census Bureau, 1990 Census"
428,PRI,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
429,PRI,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
430,PRI,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
431,PRI,SP.POP.GROW,"Data sources: U.S. Census Bureau, 1990 Census"
432,PRI,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
433,PRI,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
434,PRI,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
435,PRK,SP.POP.GROW,Data sources: United Nations World Population Prospects
436,PRK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
437,PRT,SP.POP.TOTL,Data sources : Eurostat
438,PRT,SP.POP.GROW,Data sources : Eurostat
439,PRY,SP.POP.GROW,Data sources: United Nations World Population Prospects
440,PRY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
441,PSE,SP.POP.TOTL,"Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
442,PSE,SP.POP.1564.TO.ZS,Excluding East Jerusalem.
443,PSE,SP.POP.0014.TO.ZS,Excluding East Jerusalem.
444,PSE,SP.POP.GROW,"Data sources: World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
445,PSE,SP.POP.TOTL.FE.ZS,Excluding East Jerusalem.
446,PSE,SP.POP.TOTL.MA.ZS,Excluding East Jerusalem.
447,PYF,SP.POP.GROW,Data sources: United Nations World Population Prospects
448,PYF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
449,QAT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
